	sequence_id	cluster_id
296	NC_021644	Onychostoma
297	KT438512	Onychostoma
298	NC_023799	Onychostoma
299	JQ343982	Onychostoma
300	KJ909660_2	Onychostoma
301	KP244449	Onychostoma
302	MG570407	Notropis
303	NC_037014	Notropis
304	NC_037008	Notropis
305	AP012084	Notropis
306	NC_033921	Notropis
307	MT333789	Notropis
308	NC_008110	Notropis
309	NC_033947	Notropis
310	MG570408	Notropis
311	MG570413	Notropis
312	DQ536429	Notropis
313	MG570451	Notropis
314	MG570409	Notropis
315	AP012108	Notropis
316	MG570414	Notropis
317	MG570455	Notropis
318	AP012076	Notropis
319	NC_037009	Notropis
320	MG570456	Notropis
321	NC_033938	Notropis
322	NC_033925	Notropis
323	NC_033940	Notropis
324	AP012083	Notropis
325	AP012100	Notropis
326	AP012097	Notropis
327	MG570443	Notropis
328	NC_029451	Labeo
329	AP011328	Labeo
330	AP011200	Labeo
331	MT303069	Labeo
332	NC_029450	Labeo
333	JN412817	Labeo
334	AP013340	Labeo
335	KP025676	Labeo
336	NC_029444	Labeo
337	NC_015193	Labeo
338	JQ231113	Labeo
339	NC_022956	Labeo
340	KT001152	Labeo
341	AP013326	Labeo
342	AP013322	Labeo
343	NC_031536	Labeo
344	AP011198	Labeo
345	KR185963	Labeo
346	NC_026217	Labeo
347	MN533986	Labeo
348	AP011199	Labeo
349	MN830943	Labeo
350	JQ838172	Labeo
351	NC_027856	Labeo
352	KT751364	Labeo
353	NC_016892	Labeo
354	NC_033963	Labeo
355	AP013338	Labeo
356	AP013337	Labeo
357	NC_031622	Labeo
358	KM596849	Labeo
359	NC_017614	Labeo
360	JQ087872	Labeo
361	NC_029449	Labeo
362	MT478137	Labeo
363	KP064328	Labeo
364	AP013323	Labeo
365	KX950696	Labeo
366	AP012143	Labeo
367	NC_022943	Labeo
368	AP011206	Labeo
369	NC_022945	Labeo
370	NC_017893	Labeo
371	NC_017608	Labeo
372	NC_022949	Labeo
373	KP052647	Sarcocheilichthys
374	KF177390	Sarcocheilichthys
375	KC847084	Sarcocheilichthys
376	KX905080	Sarcocheilichthys
377	NC_020608	Sarcocheilichthys
378	MT081359	Sarcocheilichthys
379	NC_034753	Sarcocheilichthys
380	NC_018786	Sarcocheilichthys
381	KF765805	Sarcocheilichthys
382	MG797641	Sarcocheilichthys
383	AP011332	Sarcocheilichthys
384	AB054124	Sarcocheilichthys
385	AP012069	Sarcocheilichthys
386	AP012067	Sarcocheilichthys
387	KF587906	Sarcocheilichthys
388	NC_004694	Sarcocheilichthys
389	AP011416	Sarcocheilichthys
390	KY779851	Sarcocheilichthys
391	KF669394	Sarcocheilichthys
392	JX401522	Sarcocheilichthys
393	NC_033918	Sarcocheilichthys
394	NC_037403	Sarcocheilichthys
395	AP017653	Sarcocheilichthys
396	NC_046944	Sarcocheilichthys
397	NC_022934	Sarcocheilichthys
398	KJ850307	Sarcocheilichthys
399	KJ997940	Sarcocheilichthys
400	JX456224	Sarcocheilichthys
401	MN711646	Sarcocheilichthys
402	NC_022475	Sarcocheilichthys
403	KU301744	Sarcocheilichthys
404	MK134852	Cyprinus
405	KU050703	Cyprinus
406	KP993138	Cyprinus
407	KX710076	Cyprinus
408	NC_018035	Cyprinus
409	KF932266	Cyprinus
410	KJ511882	Cyprinus
411	MG570426	Cyprinus
412	KU146530	Cyprinus
413	NC_028418	Cyprinus
414	KF856965	Cyprinus
415	MK291479	Cyprinus
416	KJ511883	Cyprinus
417	JN105357	Cyprinus
418	KU301745	Cyprinus
419	KF856964	Cyprinus
420	NC_018037	Cyprinus
421	JX188253	Cyprinus
422	KU146529	Cyprinus
423	KP993139	Cyprinus
424	KU159761	Cyprinus
425	JN105354	Cyprinus
426	KU373073	Cyprinus
427	KR869143	Cyprinus
428	MK088487	Cyprinus
429	MG570427	Cyprinus
430	KR869144	Cyprinus
431	JN105353	Cyprinus
432	NC_028419	Cyprinus
433	JX188254	Cyprinus
434	NC_018366	Cyprinus
435	KP993136	Cyprinus
436	KP993137	Cyprinus
437	MH202953	Cyprinus
438	NC_018039	Cyprinus
439	MT780875	Cyprinus
440	JN105352	Cyprinus
441	KP013086	Cyprinus
442	KR869145	Cyprinus
443	NC_028417	Cyprinus
444	MG570435	Cyprinus
445	NC_018036	Cyprinus
446	NC_001606	Cyprinus
